,medication,rate,comment,drug,illness
0,Inflectra (infliximab) for Crohn's Disease,1.0,"Insurance forced me to switch to inflectra due to being cheaper for THEM for my Crohn's. I did not have a say, and insurance won't listen to Dr. recommendations. While on Remicade I only had flare ups 3 days a month during my period,  but no other issues or side effects. Yet after only 2 infusions on Inflectra I have multiple daily loose stools regardless of healthy diet, as well as bloody stools at least once a day.  In addition to Inflectra not preventing flare ups, inflammation, and symptoms; Inflectra has incurred more issues that I didn't have previously:
Kidney pain
Rib Pain
Joint pain: shoulders,  wrists,  ankles.
Nausea
Headaches
Severe Fatigue 
Charlie horse cramping in my hands, where I can't move my thumb; it's completely contracted.

I'm in my early 40's with a toddler to try to keep up with,  as well as career to maintain, and this isn't fair to me or my family.",Inflectra (infliximab) , Crohn's Disease
2,Remicade (infliximab) for Ulcerative Colitis,1.0,"This medication Remicade made me in constant pain. I slept for two months 20 hours a day. I felt very depressed. My body was in pain everywhere and I was covered in a rash. Parts of my body have permanent nerve damage months after I got off it. My specialist told me it is hard to diagnose nerve damage, as if that matters. Is everyone a liar till a doctor proves it? This same specialists wanted me to go back on it. I said I really didn't want to go through that again. The specialist would not leave it alone. I Mentioned Covid-19 to him and he said it won't make a difference if I am off remicade or not. Oh okay, I guess all these tests were for nothing then? Now I am without a specialist. He then talked down about me to my family doctor saying I am refusing treatment. Now my family doctor is treating me like I am just wasting people's time. I suspect this is exactly how people become homeless. Do I have no rights? People should consider their specialist might value money more than your life.",Remicade (infliximab) , Ulcerative Colitis
3,Inflectra (infliximab) for Crohn's Disease,1.0,"I have Fistulizing Crohn's, dx'd 6 yrs ago @ 36yo- 11 surgeries since then: abscesses, fistulae, drains. 
Years of my life, my career, independence & ability to have biological children lost but Remicade saved my life. I've been in Remission since early 2018-.Trough levels in high 20's.
At JUST that time, my insurance made mandatory switch: ALL patients on Remicade to Inflectra. Since that time, trough levels have steadily dropped to where I'm near rejection & TERRIFIED to start developing abscesses & fistulas again- I'd rather die. Seriously.
I'm now writing to Medicare Commissioner who's probably some paper pusher w/o any IBD training to SAVE MY LIFE & give back my Remicade. Insanity. My doctor is  writing a letter on my behalf but she told me that she has been denied EVERY SINGLE TIME she's requested her patients moved BACK to Remicade. It's criminal that insurance companies pick drug therapy for a disease that literally BURROWS HOLES through my body. I am only 42 & deserve a chance.",Inflectra (infliximab) , Crohn's Disease
4,Remicade (infliximab) for Ulcerative Colitis,10.0,"Remicade literally gave me my life back 9 yrs ago.  I was so ill ; in & out of hospitals, steroids, taking 20+ pills a day & I was still extremely sick.  I finally went to Philly (where on my first visit, they were planning my surgery to remove my colon..during that conversation I stopped listening.) My dr. suggested I give Remicade a try - before surgery.  At that point, I would have done anything.   Honestly I did not believe anything would work since I had this disease for years and could barely function.  The Remicade worked like magic - it is liquid gold - I have never had any side effects or adverse reactions -  I have been in remission ever since!",Remicade (infliximab) , Ulcerative Colitis
5,Remicade (infliximab) for Ulcerative Colitis,10.0,"Life-changing. I once thought I was doomed to a life of pain and suffering. Now that I've been on Remicade for 3 years, I feel like a normal human being again. My disease has become a small part of my life and I don't even think about it much anymore. 

I do seem to be slowly losing response. I had to increase the frequency of infusions and now I sometimes have minor symptoms around the time I am due for my next dose. 

I was nervous when I started this medicine because of the trips to the hospital for infusions and because my doctor at the time made it sound like a huge deal to be on this. I wish I had started it sooner!",Remicade (infliximab) , Ulcerative Colitis
7,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I have been on Remicade for nearly 4 years.  Prior to that I had a variety of Crohn's issues including two surgeries for peri-anal fistulas, severe fatigue and lots of other fun stuff.  I have been very lucky in that I have responded very well to the stuff and now most days I am fortunate enough to forget I have the disease.  I was apprehensive about potential side effects but to date have experienced none.  Prior to Remicade I took a few medications which did absolutely nothing but the Remicade had a pronounced effect within 24 hours of my first infusion.  If you have Crohn's or Colitis would seriously consider an anti TNF blocker (haven't used any of the others) and stay the hell away from steroids.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
8,Remicade (infliximab) for Ulcerative Colitis,10.0,"I had a second relapse of Ulcerative Colitis in 2005. I spent 2 weeks in hospital, been given a fist full of medicines and sent home. Nothing worked. I contemplated having surgery to free me of the disease and wear an ostomy. To my eternal gratitude, my Gastro MD suggested Remicade. After my last colonoscopy in 2013, he said if I had not seen you as sick as you were... your colon looks perfectly healthy. I will accept the side effects (I have experienced none as of yet) to have my life back. Remicade has assistance programs to help those who need it. I am not a spokesman, I do not sell this. But I use and will as long as I can. I wish this medicine was around for my Dad as he suffered with Crohns and Colitis for years.",Remicade (infliximab) , Ulcerative Colitis
10,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"My son has crohns and lost 30 lbs in 2.5 months. He took the medicine the doctor said to take but then he developed a fistula. I could tell he was in a lot of pain but yet he would not tell me what was going on. Both of us being very uneducated of this disease had no idea of the trouble he was headed towards. I made an appointment with the surgeon, the surgeon confirmed a fistula, and said he needed to take Remicade.
My son has had four Remicade treatments and I have to say he was doing a lot better after the first treatment. It has been almost 9 months now and he is back to his average weight of 190. We are both afraid of the Remicade and we don't talk about it very much at all but I do have to admit it has given my son his life back.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
13,Remicade (infliximab) for Ulcerative Colitis,1.0,"My younger brother was on remicade for 10 years , and yes it helped him with the uc but he just passed away from cancer and liver failure at 27 years old most likely from the years of remicade. So I am leaving the warning to be careful and think that this is just some miracle drug.  Everything has consequences",Remicade (infliximab) , Ulcerative Colitis
14,Remicade (infliximab) for Ulcerative Colitis,10.0,I have been getting Remicade infusions for 4 1/2 years.  I went into remission within a week of my first infusion. My only side effects I have are headaches and some chest pain off and on.  But considering how my life was before Remicade I can handle it for now.,Remicade (infliximab) , Ulcerative Colitis
15,Inflectra (infliximab) for Ulcerative Colitis,1.0,"Insurance company switched me off my Remicaid to the cheaper drug, Inflectra causing severe flare. Headaches, nausea, diarrhea, and vomiting. No energy during the day, I have to take several naps just to get through the day. I had just gotten used to being and feeling better after fighting with my colitis. The Remiciad put me into remission and now I'm sick again because of Inflectra.",Inflectra (infliximab) , Ulcerative Colitis
16,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I was diagnosed with Crohn's Disease when I was 26 years old and  I am now 66 and have been on Remicade since 2008.  I get my infusion every 8 weeks and for me it works for my Crohn's.  I am somewhat tired after my infusion, sometimes the next day for about half the day.  For me I can't imagine not being on it.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
17,Remicade (infliximab) for Ulcerative Colitis,8.0,"I have been diagnosed with UC for about 15 years.  I have been on various forms of mesalamine for the entire time.  On and off of prednisone, 5-60 mg a day.  Remicade had me close to remission for 5 years.  While on Remicade I was able to drop the prednisone.  For that, I'm grateful for the Remicade.  After about 5 years it suddenly lost it's effectiveness.  I then went back to the Prednisone while waiting to get approved for Entyvio.  Remicade was given via IV every two months.  Entyvio did absolutely nothing for me.  I'm now on Simponi which is starting to show promising results.  It supposedly works on the same inhibitors as Remicade.  A lot of trial and error.  Be patient and keep the faith.",Remicade (infliximab) , Ulcerative Colitis
18,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I am a 65 year old male and I acquired Crohn's Disease in 1965 at age 19.  Remicade was approved by the FDA in August of 1998 and I was given my first dose the next month.  Back then, they only administered 2 doses. I received the second dose 3 months after the first one.  I have had no further doses since then.

When I got the first dose I was in the midst of a flare, and I had an actively draining abdominal fistula.  Three days after the first infusion the fistula closed of its own accord and I happily avoided yet another surgery for Crohn's (I have had over 20 surgeries).  

I have been SYMPTOM-FREE since the second infusion.  I have more health issues now, but at least they are not Crohn's related.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
19,"Remicade (infliximab) for Crohn's Disease, Maintenance",9.0,I have been dealing with Crohn's Disease for around ten years now and I was only properly diagnosed 2 yrs ago. I have received Remicade infusions every four weeks for the last year and it has made a very significant improvement in my everyday life. I no longer need to take pain meds to get through the day and my energy levels are closer to normal then they have been in years. Before Remicade it had got to the point where I could barely walk due to lower back and hip pain all related to Crohn's.,Remicade (infliximab) ," Crohn's Disease, Maintenance"
21,Inflectra (infliximab) for Ulcerative Colitis,1.0,"Was on REMICADE everything was great and I was back to feeling normal and in remission for long time. My insurance company did a mandatory med change so they could save a little bit of money. Now I'm in major pain again ,going threw flare up and near having to go to ER to get help. One dose of infletra was all it took to mess me up again. My insurance wont even let me back on REMICADE. I truly hope no one else has to be forced on infletra",Inflectra (infliximab) , Ulcerative Colitis
22,Remicade (infliximab) for Ulcerative Colitis,10.0,"Remicade has been a miracle for me. Last year this time I was totally desperate and thinking of get rid of my colon due to severe UC. Now, I am totally healthy and no sign of UC!!! If u r suffering from UC, give it a try without any doubt. Thanks to science and researchers. Of course, it takes couple of months to feel the full effect of it, but as soon as I got the first infusion I felt its positive effect. Its combination with Azathioprine works much better.",Remicade (infliximab) , Ulcerative Colitis
24,Inflectra (infliximab) for Crohn's Disease,1.0,"I was forced to switch Biologics due to insurance company wanting to save some money. I was finally feeling somewhat normal after being on Remicade for a year. Now I am taking Inflectra and have been feeling awful. In and out of cramping, zero energy, nauseous all the time and a few other issues. I would like to think my health is more important than my insurance company saving a few dollars....",Inflectra (infliximab) , Crohn's Disease
25,Remicade (infliximab) for Ulcerative Colitis,10.0,"I was diagnosed with uc in my twenties. For many years I maintained with various medications and only a couple of relatively minor flare ups.  Suddenly at age 56 I had a severe flare up that did not respond to prednisone. Removing colon was brought up. After much suffering and weight loss for about 3 months I was put on Remicade by my wonderful GI. Within a couple of weeks my condition began to improve. I am now almost 7 years with infusions every 8 weeks. I am very grateful for this medication, although I do wonder if my immune system is weakened. It really doesn't compare to almost dying or having major surgery. I know it doesn't work for everyone but for me it was a miracle.",Remicade (infliximab) , Ulcerative Colitis
27,"Remicade (infliximab) for Crohn's Disease, Maintenance",7.0,"Right after my daughters 13 yr. birthday, she had severe bleeding and was diagnosed with severe crohns and colitis.  She has been on Remicade since January and has infusions every six weeks.  She was on put on Prednisone in March since the infusions did not stop the bleeding alone.  She is now being weened off the steroids, Thank God, and is on Remicade for the rest if ths year for now.  She gets a boost of energy and after her infusions, but is very smart about what she can and cant eat. Prayers to u all going through this.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
29,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I have had Crohn's Disease for 18 years. I was extremely ill for the first 8 years. My doctor put me on Methotrexate, and I got better, but not ""well"". Then, Remicade came out. I have been getting infusions every 8 weeks for over 7 years, and it has saved my life. I will say, though, that at one time they hoped to wean me off of the Methotrexate, but I started having flare-ups and the time between infusions was increased. Since I am back on the Methotrexate and Remicade, I have had no problems at all. Yes, I know my immune system is very weak, but I avoid anyone who is sick, and try to get enough rest when I can. This combination of drugs has worked for me and I hope I have helped someone out there! You may need something else with Remicade. ",Remicade (infliximab) ," Crohn's Disease, Maintenance"
30,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I have been on Remicade since I was 7 years old when I developed crohns disease, I am 26 years old this year. For the past 19 years I have been receiving this medicine and it has kept me healthy. You do need to find a cycle be it 4, 6 or 8 weeks for your infusions. I do every 6 weeks and it keeps my symptoms minimal. The day of and the day after the infusion I feel like crap, tired, painful joints, but after that wears off I feel a lot better than before the infusion.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
31,Remicade (infliximab) for Ulcerative Colitis,8.0,I have only been living with this UC for about 5 months and couldn’t find anything to help .After 1st infusion notice a big improvement till I hurt my back and took a lot of   Ibuprofen and   Aleve for the pain and had major  flare up had my 2nd infusion and then that clear up by about 80%. Now have  anxieties but not from remicade going for my 3rd infusion in 2-1/2 weeks then every 8 weeks. Prayers and positive attitude and good diet I will be fine,Remicade (infliximab) , Ulcerative Colitis
33,Remicade (infliximab) for Ulcerative Colitis,10.0,"I was diagnosed with Ulcerative Colitis about 12 years ago and have been on Remicade for about 2 of those years. I am still taking Asacol and getting the Remicade infusions every 8 weeks, but I feel about 90-95% better since being on Remicade. I have not noticed any real side effects from taking Remicade, but I have heard from other patients that they have had them. I still think that if I had any side effects (with the exception) of major ones, I would stay on it as long as I can. The only thing I honestly can complain about is the cost. I would say if anyone is being told that it is an option for their ulcerative colitis or any of the other issues that are in the same family (IBS, Crohn's, etc) it is a huge help.",Remicade (infliximab) , Ulcerative Colitis
34,Remicade (infliximab) for Crohn's Disease,10.0,"First couple trips are the worst but after that it becomes a routine and it works wonders I'm not lying it gave me my life back until my insurance couldn't pay now I use 
Humira no competition. Remicade hands downed so if you are doing bad try it.",Remicade (infliximab) , Crohn's Disease
35,Remicade (infliximab) for Ulcerative Colitis,10.0,I used Remicade for a little over a year and it helped tremendously. While I was on it I never felt better. The only reason I had to stop taking it was because I lost my insurance after I was laid off. My doctors office found a program to help pay for the treatments and I will be going back on the Remicade soon. Can't wait.,Remicade (infliximab) , Ulcerative Colitis
38,"Remicade (infliximab) for Crohn's Disease, Maintenance",6.0,"My son started Remicade at 13yrs. He has severe Crohns flare ups and this was a last resort aside from surgery for him. The Remicade treatment gave him few side effects. He didn't get any headaches/tiredness. And he didn't get sick easier like they said he would. When almost our whole house(7 of us) got the flu; m\Micah didn't. Micah just took his last dose 8 weeks ago after being on Remicade for over a year and a half. (Micah was on Lialda too) even when they used the amount of Remicade, Micah was still getting flare ups every other month or so. They tested his blood and found out he had antibodies to the Remicade, which means his body was attacking the Remicade and that's why it was only working right after the infusions.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
40,Remicade (infliximab) for Ulcerative Colitis,10.0,"I was diagnosed with UC in March 2015 out of nowhere.. Rapidly got bad and needed to be hospitalized for a week to get the flare under control.. Was given heavy doses of steroids (awful) and they did nothing to help.. I was released from the hospital after a week and symptoms were still bad.. About 2 weeks later after not being able to eat and losing 20lbs I was barely able to walk and was readmitted, this time I went to Columbia in NYC.. I wasn't able to eat for the full first week in the hospital and symptoms were steadily horrible.. My doctor decided to give me a loading dose of remicade and the results were almost immediate! I have been on remicade every 8 weeks since and don't have a single symptom of UC

It's been a life saver!",Remicade (infliximab) , Ulcerative Colitis
42,Remicade (infliximab) for Ulcerative Colitis,9.0,"I was diagnosed 3 years ago with severe Ulcerative Colitis. Asacol and predisone worked at first, but after each outbreak the medicines seemed less effective. My last attack left me under 100lbs, severely anemic, and in enough pain that I needed to be kept in a continuous Dilaudid-induced daze. So many people have told me how terrible Remicade is and that I just need to, ""find the right diet"". If diet works for you, great! Remicade was the only thing that worked for me. The cons: It's expensive, but luckily my insurance covers it. It's inconvenient to go to the hospital every 6 weeks. I havn't noticed any side effects except hair loss at first, but now my hair is growing back. I've been told that the hair loss could also have been from all the weight loss.",Remicade (infliximab) , Ulcerative Colitis
45,Remicade (infliximab) for Ulcerative Colitis,10.0,"I could not get the colitis under control for 18 months, finally my doctor prescribed Remicade. Well after the first treatment bleeding stopped and I feel like a normal person again. Only small side effect for me is I feel a bit  dizzy just after the treatment",Remicade (infliximab) , Ulcerative Colitis
46,"Inflectra (infliximab) for Crohn's Disease, Maintenance",1.0,My adult daughter’s both have Crohn’s disease and are on Inflectra and both now have Fistulas which should never had happened while on infusion therapy. My oldest daughter was feeling great on Remicade but to save money her insurance company made her change to Inflectra.,Inflectra (infliximab) ," Crohn's Disease, Maintenance"
47,"Remicade (infliximab) for Crohn's Disease, Maintenance",7.0,"This nightmare all started 9 years ago with an abcess. This turned into a fistula. The fistula went away after years then I developed another one on the opposite side. Then multiple fistulas. 10 surgeries later and now I have a fistula through the 
vagina. I finally changed Drs. My dr put me on remicade and methotraxate, and I am finally seeing results. Extremely tired I could continuously sleep my life away. I haven't felt any inflamation for weeks. No pain pills for 4 weeks now. So cross my fingers this works.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
